Timestamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,Size,GeoIP
20:35:13,TCP,192.168.2.19,17820,172.64.80.1,8443,85,N/A
20:35:13,UDP,192.168.2.19,55523,142.251.41.78,443,1288,N/A
20:35:14,UDP,192.168.2.19,55523,142.251.41.78,443,1288,N/A
20:35:14,UDP,192.168.2.19,55523,142.251.41.78,443,1292,N/A
20:35:14,UDP,192.168.2.19,55523,142.251.41.78,443,1292,N/A
20:35:14,UDP,192.168.2.19,55523,142.251.41.78,443,709,N/A
20:35:14,UDP,192.168.2.19,55523,142.251.41.78,443,709,N/A
20:35:14,UDP,142.251.41.78,443,192.168.2.19,55523,69,N/A
20:35:14,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:14,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:14,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:14,UDP,192.168.2.19,55523,142.251.41.78,443,74,N/A
20:35:14,UDP,192.168.2.19,55523,142.251.41.78,443,74,N/A
20:35:15,UDP,142.251.41.78,443,192.168.2.19,55523,66,N/A
20:35:15,TCP,172.64.80.1,8443,192.168.2.19,17820,79,N/A
20:35:15,UDP,142.251.41.78,443,192.168.2.19,55523,861,N/A
20:35:15,TCP,192.168.2.19,17820,172.64.80.1,8443,54,N/A
20:35:15,TCP,192.168.2.19,17820,172.64.80.1,8443,54,N/A
20:35:15,UDP,192.168.2.19,55523,142.251.41.78,443,78,N/A
20:35:15,UDP,192.168.2.19,55523,142.251.41.78,443,78,N/A
20:35:15,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:15,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:15,UDP,142.251.41.78,443,192.168.2.19,55523,66,N/A
20:35:15,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:16,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:16,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:16,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:16,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:16,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:16,TCP,192.168.2.19,18305,45.33.91.156,8443,82,N/A
20:35:16,TCP,192.168.2.19,18305,45.33.91.156,8443,82,N/A
20:35:16,TCP,45.33.91.156,8443,192.168.2.19,18305,78,N/A
20:35:16,TCP,192.168.2.19,18305,45.33.91.156,8443,54,N/A
20:35:16,TCP,192.168.2.19,18305,45.33.91.156,8443,54,N/A
20:35:16,TCP,172.64.80.1,8443,192.168.2.19,17310,267,N/A
20:35:16,TCP,172.64.80.1,8443,192.168.2.19,17303,267,N/A
20:35:16,TCP,172.64.80.1,8443,192.168.2.19,17863,267,N/A
20:35:17,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:17,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:17,TCP,172.64.80.1,8443,192.168.2.19,17850,267,N/A
20:35:17,TCP,172.64.80.1,8443,192.168.2.19,17820,267,N/A
20:35:17,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:17,TCP,192.168.2.19,17303,172.64.80.1,8443,54,N/A
20:35:17,TCP,192.168.2.19,17310,172.64.80.1,8443,54,N/A
20:35:17,TCP,192.168.2.19,17310,172.64.80.1,8443,54,N/A
20:35:17,TCP,192.168.2.19,17303,172.64.80.1,8443,54,N/A
20:35:17,TCP,45.33.91.156,8443,192.168.2.19,18305,78,N/A
20:35:17,TCP,192.168.2.19,18305,45.33.91.156,8443,82,N/A
20:35:18,TCP,192.168.2.19,18305,45.33.91.156,8443,82,N/A
20:35:18,TCP,192.168.2.19,17863,172.64.80.1,8443,54,N/A
20:35:18,TCP,192.168.2.19,17850,172.64.80.1,8443,54,N/A
20:35:18,TCP,192.168.2.19,17820,172.64.80.1,8443,54,N/A
20:35:18,TCP,192.168.2.19,17863,172.64.80.1,8443,54,N/A
20:35:18,TCP,192.168.2.19,17820,172.64.80.1,8443,54,N/A
20:35:18,TCP,192.168.2.19,17850,172.64.80.1,8443,54,N/A
20:35:18,TCP,45.33.91.156,8443,192.168.2.19,18305,60,N/A
20:35:18,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:18,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:18,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:18,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:19,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:19,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:19,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:19,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:19,UDP,192.168.2.1,9431,192.168.2.255,9431,104,N/A
20:35:19,TCP,192.168.2.19,17863,172.64.80.1,8443,85,N/A
